# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.177       52.101       2.00  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TX
# 
  260,20141010,  178
  260,20141011,  157
  260,20141012,  162
  260,20141013,  185
  260,20141014,  136
  260,20141015,  184
  260,20141016,  180
  260,20141017,  188
  260,20141018,  230
  260,20141019,  215
  260,20141020,  177
  260,20141021,  140
  260,20141022,  135
  260,20141023,  151
  260,20141024,  126
  260,20141025,  153
  260,20141026,  159
  260,20141027,  170
  260,20141028,  140
  260,20141029,  128
  260,20141030,  156
  260,20141031,  166
  260,20141101,  185
  260,20141102,  174
  260,20141103,  153
  260,20141104,  109
  260,20141105,   95
  260,20141106,   82
  260,20141107,   98
  260,20141108,  129
  260,20141109,  128
  260,20141110,  126
  260,20141111,  129
  260,20141112,  122
  260,20141113,  133
  260,20141114,  124
  260,20141115,  110
  260,20141116,   92
  260,20141117,  123
  260,20141118,   83
  260,20141119,   91
  260,20141120,   80
  260,20141121,   90
  260,20141122,  118
  260,20141123,  135
  260,20141124,  113
  260,20141125,   91
  260,20141126,   64
  260,20141127,   88
  260,20141128,   95
  260,20141129,   49
  260,20141130,   31
  260,20141201,   24
  260,20141202,   14
  260,20141203,   10
  260,20141204,   15
  260,20141205,   53
  260,20141206,   91
  260,20141207,   67
  260,20141208,   49
  260,20141209,   49
  260,20141210,   99
  260,20141211,   77
  260,20141212,   94
  260,20141213,   68
  260,20141214,   48
  260,20141215,   79
  260,20141216,   78
  260,20141217,  106
  260,20141218,  125
  260,20141219,  124
  260,20141220,   91
  260,20141221,  103
  260,20141222,  128
  260,20141223,  128
  260,20141224,  100
  260,20141225,   79
  260,20141226,   52
  260,20141227,   29
  260,20141228,   34
  260,20141229,   56
  260,20141230,   65
  260,20141231,   76
  260,20150101,   47
