Series Name	Country Name	Country Code	1990 [YR1990]	2000 [YR2000]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]
Electric power consumption (kWh per capita)	Kosovo	KSV	..	1557.058824	2225.018842	2395.863861	2644.526129	2558.084877	2649.689133	2947.027762	2862.840682	..	..	..
Electric power consumption (kWh per capita)	Kuwait	KWT	8368.822711	14909.2756	17648.0583	16860.53405	16720.94304	16173.92216	16387.13595	15551.77065	15721.80919	..	..	..
Electric power consumption (kWh per capita)	Kyrgyz Republic	KGZ	2330.570231	1696.064021	1377.433696	1456.229595	1378.720364	1323.723367	1371.721214	1649.258332	1809.102582	..	..	..
Electric power consumption (kWh per capita)	Lao PDR	LAO	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Latvia	LVA	3396.728161	2082.321387	2966.609973	3169.077295	3213.12144	3026.611489	3229.951062	3264.538826	3588.424431	..	..	..
Electric power consumption (kWh per capita)	Lebanon	LBN	517.9393856	3019.428939	2713.061071	2805.582576	2978.30164	3141.513752	3478.777337	3494.706899	3102.419243	..	..	..
Electric power consumption (kWh per capita)	Lesotho	LSO	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Liberia	LBR	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Libya	LBY	1590.571521	2230.356227	3779.318924	3765.665624	4354.059156	4342.79106	4531.977847	3807.016194	4706.844364	..	..	..
Electric power consumption (kWh per capita)	Liechtenstein	LIE	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Lithuania	LTU	4023.43207	2516.905098	3353.304327	3564.206785	3733.626495	3622.290317	3470.78503	3529.918778	3607.703798	..	..	..
Electric power consumption (kWh per capita)	Luxembourg	LUX	13667.67055	15668.11827	16456.60412	16352.3218	15937.78778	14425.96473	16829.96254	15586.08423	14696.4098	..	..	..
Electric power consumption (kWh per capita)	"Macao SAR, China"	MAC	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	"Macedonia, FYR"	MKD	2667.5323	2928.355196	3476.723342	3646.242347	3697.81819	3438.210324	3588.462808	3895.17728	3689.706998	..	..	..
Electric power consumption (kWh per capita)	Madagascar	MDG	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Malawi	MWI	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Malaysia	MYS	1145.839814	2720.493463	3058.441655	3271.642877	3290.753435	3952.638473	4158.573232	4113.81806	4345.471047	..	..	..
Electric power consumption (kWh per capita)	Maldives	MDV	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Mali	MLI	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Malta	MLT	2823.502838	4410.496037	4897.510042	4873.083467	4836.593963	4434.186633	4171.210206	4689.28671	4760.939791	..	..	..
Electric power consumption (kWh per capita)	Marshall Islands	MHL	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Mauritania	MRT	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Mauritius	MUS	670.5862908	1363.24611	1743.117482	1816.671103	1881.649775	1907.12257	1995.361484	2025.704166	2075.035712	..	..	..
Electric power consumption (kWh per capita)	Mexico	MEX	1161.975149	1717.444038	1877.560027	1905.7468	1908.346669	1863.535158	1903.984825	2074.244489	2011.715104	..	..	..
Electric power consumption (kWh per capita)	"Micronesia, Fed. Sts."	FSM	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Moldova	MDA	3235.38961	1638.095699	2163.053814	1996.415901	2028.229958	1740.799034	1722.886713	1470.230501	1514.530474	..	..	..
Electric power consumption (kWh per capita)	Monaco	MCO	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Mongolia	MNG	1489.369982	1053.624744	1298.816018	1333.319963	1424.895785	1379.996494	1492.6325	1495.429264	1597.385501	..	..	..
Electric power consumption (kWh per capita)	Montenegro	MNE	..	..	6451.770253	6564.643799	6287.187849	5010.561319	5419.51607	5752.492828	5415.717989	..	..	..
Electric power consumption (kWh per capita)	Morocco	MAR	357.1123964	487.3827453	690.7138976	720.8012609	741.5182333	752.4840487	777.0712226	818.5180581	875.176865	..	..	..
Electric power consumption (kWh per capita)	Mozambique	MOZ	40.98124353	121.8207788	445.1220129	445.7138548	429.5741306	429.6380025	438.583922	439.3026624	444.4111451	..	..	..
Electric power consumption (kWh per capita)	Myanmar	MMR	43.39720976	73.7574033	86.48498967	87.55628879	92.12227018	97.1973278	121.5858044	151.020392	152.6534766	..	..	..
Electric power consumption (kWh per capita)	Namibia	NAM	..	994.7559292	1541.933332	1547.158327	1582.925392	1530.879868	1532.154503	1550.781395	1590.560493	..	..	..
Electric power consumption (kWh per capita)	Nepal	NPL	35.48239625	59.30882057	84.70849268	88.70602352	84.55781675	97.99694397	103.0662776	115.235023	119.0886789	..	..	..
Electric power consumption (kWh per capita)	Netherlands	NLD	5218.135158	6559.537517	7054.83222	7209.937237	7226.069622	6895.663913	7009.523819	7035.672399	6871.098842	..	..	..
Electric power consumption (kWh per capita)	New Caledonia	NCL	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	New Zealand	NZL	8972.310649	9384.348187	9700.090809	9640.607983	9556.317198	9403.848836	9601.903142	9456.20438	9373.426193	..	..	..
Electric power consumption (kWh per capita)	Nicaragua	NIC	308.3557161	347.7366877	429.7076612	464.1334241	477.9673838	484.0649455	514.1413265	537.0376014	579.5440353	..	..	..
Electric power consumption (kWh per capita)	Niger	NER	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Nigeria	NGA	86.71020932	74.13120872	111.1444395	138.1424014	126.5322012	119.9493748	135.6376666	149.3124511	155.854358	..	..	..
Electric power consumption (kWh per capita)	Northern Mariana Islands	MNP	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Norway	NOR	23353.91502	24993.7263	24099.93226	24855.00046	24866.13431	23859.70958	24890.92401	23510.38383	23657.72103	..	..	..
Electric power consumption (kWh per capita)	Oman	OMN	2186.894196	3242.828557	4257.892296	4494.650602	4968.930517	5468.718604	5704.294561	5928.966422	6094.733374	..	..	..
Electric power consumption (kWh per capita)	Pakistan	PAK	277.5360586	373.1343095	488.5634641	482.6883877	444.1958262	460.296346	466.5735825	456.6716229	451.6995477	..	..	..
Electric power consumption (kWh per capita)	Palau	PLW	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Panama	PAN	832.8578193	1267.189016	1465.39987	1548.10467	1598.317536	1689.610134	1759.698782	1857.968228	1973.683683	..	..	..
Electric power consumption (kWh per capita)	Papua New Guinea	PNG	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Paraguay	PRY	505.4891854	887.4719176	920.8204873	984.0500422	1033.547975	1092.879767	1178.606275	1282.698443	1367.891268	..	..	..
Electric power consumption (kWh per capita)	Peru	PER	546.3502475	680.1885018	887.6220852	968.1272614	1039.45081	1040.633569	1094.314345	1241.671214	1211.322691	..	..	..
Electric power consumption (kWh per capita)	Philippines	PHL	360.7418817	499.7289505	569.6580496	584.5299057	588.5127116	593.8551174	644.2681364	650.7428321	672.3890925	..	..	..
Electric power consumption (kWh per capita)	Poland	POL	3272.302311	3256.180455	3584.962188	3661.646104	3725.748778	3590.832081	3797.092296	3879.542094	3899.176642	..	..	..
Electric power consumption (kWh per capita)	Portugal	PRT	2541.865759	3988.960824	4827.467182	4890.560188	4850.837413	4843.849694	4959.094305	4848.279337	4736.351771	..	..	..
Electric power consumption (kWh per capita)	Puerto Rico	PRI	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Qatar	QAT	9587.011363	14324.63902	16051.42607	15330.52576	14461.15876	14229.32204	14940.13355	15800.05007	16183.0778	..	..	..
Electric power consumption (kWh per capita)	Romania	ROM	2924.596266	1987.66019	2446.286077	2529.906888	2605.819735	2390.574743	2550.863291	2639.033434	2604.243137	..	..	..
Electric power consumption (kWh per capita)	Russian Federation	RUS	6673.178594	5198.416768	6098.538123	6286.050536	6399.684466	6095.380575	6409.895218	6485.760845	6617.136241	..	..	..
Electric power consumption (kWh per capita)	Rwanda	RWA	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Samoa	WSM	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	San Marino	SMR	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Sao Tome and Principe	STP	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Saudi Arabia	SAU	3986.381894	5472.069284	6594.651439	6703.274197	6973.380017	7264.527459	7784.761953	7870.138699	8404.516036	..	..	..
Electric power consumption (kWh per capita)	Senegal	SEN	103.8034516	101.921003	156.8433717	180.7983875	157.9760359	188.6084022	198.5059418	198.8470018	209.5774576	..	..	..
Electric power consumption (kWh per capita)	Serbia	SRB	4628.658054	4198.715706	4040.44002	4159.137225	4291.843158	4224.397665	4358.812174	4489.57085	4386.534552	..	..	..
Electric power consumption (kWh per capita)	Seychelles	SYC	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Sierra Leone	SLE	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Singapore	SGP	4983.098684	7575.411505	8520.016358	8487.120255	8209.075505	8125.35087	8686.35137	8657.136794	8689.669453	..	..	..
Electric power consumption (kWh per capita)	Sint Maarten (Dutch part)	SXM	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Slovak Republic	SVK	5542.170903	4955.907896	5153.121484	5272.370783	5294.435099	4954.138251	5201.404897	5347.526223	5137.789018	..	..	..
Electric power consumption (kWh per capita)	Slovenia	SVN	5334.905446	5777.995651	7123.537771	7137.824175	6920.244039	6103.441294	6521.092872	6806.170759	6777.794035	..	..	..
Electric power consumption (kWh per capita)	Solomon Islands	SLB	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Somalia	SOM	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	South Africa	ZAF	4431.477273	4680.681818	4770.908402	4897.885598	4706.32553	4465.425427	4580.62056	4606.207081	4404.500084	..	..	..
Electric power consumption (kWh per capita)	South Sudan	SSD	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	Spain	ESP	3538.28728	5206.91144	6105.075849	6054.374438	6025.772757	5652.595933	5706.563063	5599.377374	5573.401182	..	..	..
